trigger,response,source_state,dest_state
* nineteen|nineteenth|19 *,<connect_bluetooth_speaker_19>,Bluetooth connecting speaker,
* twenty|twentieth|20 *,<connect_bluetooth_speaker_20>,Bluetooth connecting speaker,
* no *,Ok. You can always connect to a device later,Bluetooth connecting headset,
* one|first|1|yes *,<connect_bluetooth_headset_1>,Bluetooth connecting headset,
* two|second|2 *,<connect_bluetooth_headset_2>,Bluetooth connecting headset,
* three|third|3 *,<connect_bluetooth_headset_3>,Bluetooth connecting headset,
* four|fourth|4 *,<connect_bluetooth_headset_4>,Bluetooth connecting headset,
* five|fifth|5 *,<connect_bluetooth_headset_5>,Bluetooth connecting headset,
* six|sixth|6 *,<connect_bluetooth_headset_6>,Bluetooth connecting headset,
* seven|seventh|7 *,<connect_bluetooth_headset_7>,Bluetooth connecting headset,
* eight|eight|8 *,<connect_bluetooth_headset_8>,Bluetooth connecting headset,
* nine|ninth|9 *,<connect_bluetooth_headset_9>,Bluetooth connecting headset,
* ten|tenth|10 *,<connect_bluetooth_headset_10>,Bluetooth connecting headset,
* eleven|eleventh|11 *,<connect_bluetooth_headset_11>,Bluetooth connecting headset,
* twelve|twelfth|12 *,<connect_bluetooth_headset_12>,Bluetooth connecting headset,
* thirteen|thirteenth|13 *,<connect_bluetooth_headset_13>,Bluetooth connecting headset,
* fourteen|fourteenth|14 *,<connect_bluetooth_headset_14>,Bluetooth connecting headset,
* fifteen|fifteenth|15 *,<connect_bluetooth_headset_15>,Bluetooth connecting headset,
* sixteen|sixteenth|16 *,<connect_bluetooth_headset_16>,Bluetooth connecting headset,
* seventeen|seventeenth|17 *,<connect_bluetooth_headset_17>,Bluetooth connecting headset,
* eighteen|eighteenth|18 *,<connect_bluetooth_headset_18>,Bluetooth connecting headset,
* nineteen|nineteenth|19 *,<connect_bluetooth_headset_19>,Bluetooth connecting headset,
* twenty|twentieth|20 *,<connect_bluetooth_headset_20>,Bluetooth connecting headset,
* one|first|1|yes *,<disconnect_bluetooth_1>,Bluetooth disconnect,
* two|second|2 *,<disconnect_bluetooth_2>,Bluetooth disconnect,
* three|third|3 *,<disconnect_bluetooth_3>,Bluetooth disconnect,
* four|fourth|4 *,<disconnect_bluetooth_4>,Bluetooth disconnect,
* five|fifth|5 *,<disconnect_bluetooth_5>,Bluetooth disconnect,
* six|sixth|6 *,<disconnect_bluetooth_6>,Bluetooth disconnect,
* seven|seventh|7 *,<disconnect_bluetooth_7>,Bluetooth disconnect,
* eight|eight|8 *,<disconnect_bluetooth_8>,Bluetooth disconnect,
* nine|ninth|9 *,<disconnect_bluetooth_9>,Bluetooth disconnect,
* ten|tenth|10 *,<disconnect_bluetooth_10>,Bluetooth disconnect,
* eleven|eleventh|11 *,<disconnect_bluetooth_11>,Bluetooth disconnect,
* twelve|twelfth|12 *,<disconnect_bluetooth_12>,Bluetooth disconnect,
* thirteen|thirteenth|13 *,<disconnect_bluetooth_13>,Bluetooth disconnect,
* fourteen|fourteenth|14 *,<disconnect_bluetooth_14>,Bluetooth disconnect,
* fifteen|fifteenth|15 *,<disconnect_bluetooth_15>,Bluetooth disconnect,
* sixteen|sixteenth|16 *,<disconnect_bluetooth_16>,Bluetooth disconnect,
* seventeen|seventeenth|17 *,<disconnect_bluetooth_17>,Bluetooth disconnect,
* eighteen|eighteenth|18 *,<disconnect_bluetooth_18>,Bluetooth disconnect,
* nineteen|nineteenth|19 *,<disconnect_bluetooth_19>,Bluetooth disconnect,
* twenty|twentieth|20 *,<disconnect_bluetooth_20>,Bluetooth disconnect,
* no *,Ok. You can always connect to a device later,Bluetooth connecting paired,
* one|first|1|yes *,<connect_bluetooth_paired_1>,Bluetooth connecting paired,
* two|second|2 *,<connect_bluetooth_paired_2>,Bluetooth connecting paired,
* three|third|3 *,<connect_bluetooth_paired_3>,Bluetooth connecting paired,
* four|fourth|4 *,<connect_bluetooth_paired_4>,Bluetooth connecting paired,
* five|fifth|5 *,<connect_bluetooth_paired_5>,Bluetooth connecting paired,
* six|sixth|6 *,<connect_bluetooth_paired_6>,Bluetooth connecting paired,
* seven|seventh|7 *,<connect_bluetooth_paired_7>,Bluetooth connecting paired,
* eight|eight|8 *,<connect_bluetooth_paired_8>,Bluetooth connecting paired,
* nine|ninth|9 *,<connect_bluetooth_paired_9>,Bluetooth connecting paired,
* ten|tenth|10 *,<connect_bluetooth_paired_10>,Bluetooth connecting paired,
* eleven|eleventh|11 *,<connect_bluetooth_paired_11>,Bluetooth connecting paired,
* twelve|twelfth|12 *,<connect_bluetooth_paired_12>,Bluetooth connecting paired,
* thirteen|thirteenth|13 *,<connect_bluetooth_paired_13>,Bluetooth connecting paired,
* fourteen|fourteenth|14 *,<connect_bluetooth_paired_14>,Bluetooth connecting paired,
* fifteen|fifteenth|15 *,<connect_bluetooth_paired_15>,Bluetooth connecting paired,
* sixteen|sixteenth|16 *,<connect_bluetooth_paired_16>,Bluetooth connecting paired,
* seventeen|seventeenth|17 *,<connect_bluetooth_paired_17>,Bluetooth connecting paired,
* eighteen|eighteenth|18 *,<connect_bluetooth_paired_18>,Bluetooth connecting paired,
* nineteen|nineteenth|19 *,<connect_bluetooth_paired_19>,Bluetooth connecting paired,
* twenty|twentieth|20 *,<connect_bluetooth_paired_20>,Bluetooth connecting paired,
* stop|cancel|exit|nevermind *,Stopping <stop_bluetooth_timer>,Bluetooth *,
Tell me what you|I|Chloe can do,"I can show you how to use Horizon. You can say, ""how do I use Horizon?"" Would you like to learn more?",,Chloe Skill Quickstart
what can you|I|Chloe do,"I can show you how to use Horizon. You can say, ""how do I use Horizon?"" Would you like to learn more?",,Chloe Skill Quickstart
? ? what your features are,"I can show you how to use Horizon. You can say, ""how do I use Horizon?"" Would you like to learn more?",,Chloe Skill Quickstart
what are your features,"I can show you how to use Horizon. You can say, ""how do I use Horizon?"" Would you like to learn more?",,Chloe Skill Quickstart
yes|yup|yep|yea|yeah|mhm|sure|okay|kay|k,"To call an agent, you can double press the call button, or say, ""Call an agent."" Would you like to learn more?",Chloe Skill Quickstart,Chloe Skill Call Agent
no|skip|nah|nope|naw,No worries. You can always hold down on the call button and ask me what I can do.,Chloe Skill Quickstart,
maybe later,No worries. You can always hold down on the call button and ask me what I can do.,Chloe Skill Quickstart,
*,"Sorry, I didn't get that. Would you like to know more about what I can do?",Chloe Skill Quickstart,Chloe Skill Quickstart
* repeat *,"Sure. I can show you how to use Horizon. You can say, ""how do I use Horizon?"" Would you like to learn more?",Chloe Skill Quickstart,Chloe Skill Quickstart
* again *,"Sure. I can show you how to use Horizon. You can say, ""how do I use Horizon?"" Would you like to learn more?",Chloe Skill Quickstart,Chloe Skill Quickstart
* one more time *,"Sure. I can show you how to use Horizon. You can say, ""how do I use Horizon?"" Would you like to learn more?",Chloe Skill Quickstart,Chloe Skill Quickstart
yes|yup|yep|yea|yeah|mhm|sure|okay|kay|k,"I can tell you the status of your minutes and battery level. You can say, ""how many minutes do I have?"" or ""how much battery do I have?"" Would you like to learn more?",Chloe Skill Call Agent,Chloe Skill Privacy Mode
no|skip|nah|nope|naw,No worries. You can always hold down on the call button and ask me what I can do.,Chloe Skill Call Agent,
maybe later,No worries. You can always hold down on the call button and ask me what I can do.,Chloe Skill Call Agent,
*,"Sorry, I didn't get that. Would you like to know more about what I can do?",Chloe Skill Call Agent,Chloe Skill Call Agent
* repeat *,"Sure. To call an agent, you can double press the call button, or say, ""Call an agent."" Would you like to learn more?",Chloe Skill Call Agent,Chloe Skill Call Agent
* again *,"Sure. To call an agent, you can double press the call button, or say, ""Call an agent."" Would you like to learn more?",Chloe Skill Call Agent,Chloe Skill Call Agent
* one more time *,"Sure. To call an agent, you can double press the call button, or say, ""Call an agent."" Would you like to learn more?",Chloe Skill Call Agent,Chloe Skill Call Agent
yes|yup|yep|yea|yeah|mhm|sure|okay|kay|k,"To turn privacy mode on and off during a call, you can press on the call button once. Privacy mode disables your audio and video so that the agent cannot hear or see anything on your end. Would you like to learn more?",Chloe Skill Privacy Mode,Chloe Skill Flashlight
no|skip|nah|nope|naw,No worries. You can always hold down on the call button and ask me what I can do.,Chloe Skill Privacy Mode,
maybe later,No worries. You can always hold down on the call button and ask me what I can do.,Chloe Skill Privacy Mode,
*,"Sorry, I didn't get that. Would you like to know more about what I can do?",Chloe Skill Privacy Mode,Chloe Skill Privacy Mode
* repeat *,"Sure. To call an agent, you can double press the call button, or say, ""Call an agent."" Would you like to learn more?",Chloe Skill Privacy Mode,Chloe Skill Privacy Mode
* again *,"Sure. To call an agent, you can double press the call button, or say, ""Call an agent."" Would you like to learn more?",Chloe Skill Privacy Mode,Chloe Skill Privacy Mode
* one more time *,"Sure. To call an agent, you can double press the call button, or say, ""Call an agent."" Would you like to learn more?",Chloe Skill Privacy Mode,Chloe Skill Privacy Mode
yes|yup|yep|yea|yeah|mhm|sure|okay|kay|k,"I can turn the flashlight on the Horizon phone on and off for you. You can say ""turn on the flashlight"" or ""turn off the flashlight."" Would you like to learn more?",Chloe Skill Flashlight,Chloe Skill Time Date
no|skip|nah|nope|naw,No worries. You can always hold down on the call button and ask me what I can do.,Chloe Skill Flashlight,
maybe later,No worries. You can always hold down on the call button and ask me what I can do.,Chloe Skill Flashlight,
*,"Sorry, I didn't get that. Would you like to know more about what I can do?",Chloe Skill Flashlight,Chloe Skill Flashlight
* repeat *,"Sure. I can tell you the status of your minutes and battery level. You can say, ""how many minutes do I have?"" or ""how much battery do I have?"" Would you like to learn more?",Chloe Skill Flashlight,Chloe Skill Flashlight
* again *,"Sure. I can tell you the status of your minutes and battery level. You can say, ""how many minutes do I have?"" or ""how much battery do I have?"" Would you like to learn more?",Chloe Skill Flashlight,Chloe Skill Flashlight
* one more time *,"Sure. I can tell you the status of your minutes and battery level. You can say, ""how many minutes do I have?"" or ""how much battery do I have?"" Would you like to learn more?",Chloe Skill Flashlight,Chloe Skill Flashlight
yes|yup|yep|yea|yeah|mhm|sure|okay|kay|k,"I can tell the time and day. You can say ""what time is it?"" or ""what day is it?"" Would you like to learn more?",Chloe Skill Time Date,Chloe Skill Jokes
no|skip|nah|nope|naw,No worries. You can always hold down on the call button and ask me what I can do.,Chloe Skill Time Date,
maybe later,No worries. You can always hold down on the call button and ask me what I can do.,Chloe Skill Time Date,
*,"Sorry, I didn't get that. Would you like to know more about what I can do?",Chloe Skill Time Date,Chloe Skill Time Date
* repeat *,"Sure. I can turn the flashlight on the Horizon phone on and off for you. You can say ""turn on the flashlight"" or ""turn off the flashlight."" Would you like to learn more?",Chloe Skill Time Date,Chloe Skill Time Date
* again *,"Sure. I can turn the flashlight on the Horizon phone on and off for you. You can say ""turn on the flashlight"" or ""turn off the flashlight."" Would you like to learn more?",Chloe Skill Time Date,Chloe Skill Time Date
* one more time *,"Sure. I can turn the flashlight on the Horizon phone on and off for you. You can say ""turn on the flashlight"" or ""turn off the flashlight."" Would you like to learn more?",Chloe Skill Time Date,Chloe Skill Time Date
yes|yup|yep|yea|yeah|mhm|sure|okay|kay|k,"I can tell you jokes. You can say, ""tell me a joke."" Would you like to learn more?",Chloe Skill Jokes,Chloe Skill Jokes Repeat
no|skip|nah|nope|naw,No worries. You can always hold down on the call button and ask me what I can do.,Chloe Skill Jokes,
maybe later,No worries. You can always hold down on the call button and ask me what I can do.,Chloe Skill Jokes,
*,"Sorry, I didn't get that. Would you like to learn more about what I can do?",Chloe Skill Jokes,Chloe Skill Jokes
* repeat *,"Sure. I can tell the time and day. You can say ""what time is it?"" or ""what day is it?"" Would you like to learn more?",Chloe Skill Jokes,Chloe Skill Jokes
* again *,"Sure. I can tell the time and day. You can say ""what time is it?"" or ""what day is it?"" Would you like to learn more?",Chloe Skill Jokes,Chloe Skill Jokes
* one more time *,"Sure. I can tell the time and day. You can say ""what time is it?"" or ""what day is it?"" Would you like to learn more?",Chloe Skill Jokes,Chloe Skill Jokes
yes|yup|yep|yea|yeah|mhm|sure|okay|kay|k,That's all I know for now. I am excited to learn more skills and become more helpful to you.,Chloe Skill Jokes Repeat,
no|skip|nah|nope|naw,No worries. That's all I know for now. I am excited to learn more skills and become more helpful to you.,Chloe Skill Jokes Repeat,
maybe later,No worries. That's all I know for now. I am excited to learn more skills and become more helpful to you.,Chloe Skill Jokes Repeat,
*,"Sorry, I didn't get that. But that's all I know for now. I am excited to learn more skills and become more helpful to you.",Chloe Skill Jokes Repeat,
Thanks,No problem. Do check back for more skills soon!,Chloe Skill Jokes Repeat,
Thank you,You're welcome. I will learn more skills soon.,Chloe Skill Jokes Repeat,
* repeat *,"Sure. I can tell you jokes. You can say, ""tell me a joke."" Would you like to learn more?",Chloe Skill Jokes Repeat,Chloe Skill Jokes Repeat
* again *,"Sure. I can tell you jokes. You can say, ""tell me a joke."" Would you like to learn more?",Chloe Skill Jokes Repeat,Chloe Skill Jokes Repeat
* one more time *,"Sure. I can tell you jokes. You can say, ""tell me a joke."" Would you like to learn more?",Chloe Skill Jokes Repeat,Chloe Skill Jokes Repeat
cancel|stop|done|exit|leave|goodbye|bye|enough,OK,Chloe Skill *,
turn on ? wifi|wireless ?,<wifi_on>,,
turn on ? wife i ?,<wifi_on>,,
turn on ? wi fi ?,<wifi_on>,,
enable ? wifi|wireless ?,<wifi_on>,,
enable ? wife i ?,<wifi_on>,,
enable ? wi fi ?,<wifi_on>,,
wireless|wifi turned on,<wifi_on>,,
wife i turned on,<wifi_on>,,
wi fi turned on,<wifi_on>,,
wireless|wifi enabled,<wifi_on>,,
wife i enabled,<wifi_on>,,
wi fi enabled,<wifi_on>,,
turn off ? wifi|wireless ?,<wifi_off>,,
turn off ? wife i ?,<wifi_off>,,
turn off ? wi fi ?,<wifi_off>,,
disable ? wifi|wireless ?,<wifi_off>,,
disable ? wife i ?,<wifi_off>,,
disable ? wi fi ?,<wifi_off>,,
wireless|wifi turned off,<wifi_off>,,
wife i turned off,<wifi_off>,,
wi fi turned off,<wifi_off>,,
wireless|wifi disabled,<wifi_off>,,
wife i disabled,<wifi_off>,,
wi fi disabled,<wifi_off>,,
